Transaction_Date,CustomerID
2019-11-06,110
2019-11-07,126
2019-11-08,126
2019-11-09,113
2019-11-10,118
2019-11-11,70
2019-11-12,104
2019-11-13,136
2019-11-14,158
2019-11-15,129
2019-11-16,143
2019-11-17,155
2019-11-18,73
2019-11-19,75
2019-11-20,150
2019-11-21,160
2019-11-22,179
2019-11-23,99
2019-11-24,163
2019-11-25,94
2019-11-26,110
2019-11-27,335
2019-11-28,161
2019-11-29,141
2019-11-30,137
2019-12-01,133
2019-12-02,84
2019-12-03,116
2019-12-04,186
2019-12-05,198
2019-12-06,258
2019-12-07,207
2019-12-08,207
2019-12-09,104
2019-12-10,129
2019-12-11,210
2019-12-12,158
2019-12-13,231
2019-12-14,218
2019-12-15,208
2019-12-16,135
2019-12-17,101
2019-12-18,274
2019-12-19,235
2019-12-20,161
2019-12-21,185
2019-12-22,124
2019-12-23,54
2019-12-24,35
2019-12-25,79
2019-12-26,72
2019-12-27,103
2019-12-28,80
2019-12-29,89
2019-12-30,61
2019-12-31,67
